;
"Stück/Nom.";"Bezeichnung";"Notizen";"WKN";"Typ";"Währung";"Akt. Kurs";"Diff. abs";"Diff. %";"Wert in EUR";"Diff. abs";"Diff. %";"Datum";"Zeit";"Börse";"Kaufkurs in EUR";"Kaufwert in EUR";
"0,384";"COLGATE-PALMOLIVE    DL 1";;"850667";"Aktie";"EUR";"65,29";"0,34";"+0,52%";"25,07";"+0,48";"+1,96%";"10.02.2021";"22:01:38";"Tradegate";"64,0365";"24,59";
"0,379";"GILEAD SCIENCES   DL-,001";;"885823";"Aktie";"EUR";"55,54";"-0,02";"-0,04%";"21,05";"-3,54";"-14,40%";"10.02.2021";"22:01:38";"Tradegate";"64,8813";"24,59";
"0,498";"VERIZON COMM. INC. DL-,10";;"868402";"Aktie";"EUR";"45,345";"-0,055";"-0,12%";"22,58";"-2,01";"-8,17%";"10.02.2021";"22:01:38";"Tradegate";"49,3775";"24,59";
"0,467";"GENL MILLS        DL -,10";;"853862";"Aktie";"EUR";"47,935";"0,345";"+0,73%";"22,39";"-2,21";"-9,00%";"10.02.2021";"22:01:38";"Tradegate";"52,6767";"24,60";
"0,235";"WALMART DL-,10";;"860853";"Aktie";"EUR";"118,92";"-1,44";"-1,20%";"27,95";"+3,35";"+13,60%";"10.02.2021";"22:01:38";"Tradegate";"104,6809";"24,60";
"0,468";"INTEL CORP.       DL-,001";;"855681";"Aktie";"EUR";"48,58";"0,08";"+0,17%";"22,74";"-1,88";"-7,62%";"10.02.2021";"22:01:38";"Tradegate";"52,5855";"24,61";
"0,551";"MONDELEZ INTL INC. A";;"A1J4U0";"Aktie";"EUR";"45,585";"-0,22";"-0,48%";"25,12";"+0,51";"+2,06%";"10.02.2021";"22:01:38";"Tradegate";"44,6643";"24,61";
"0,117";"HOME DEPOT INC.    DL-,05";;"866953";"Aktie";"EUR";"229,90";"1,45";"+0,64%";"26,90";"+2,28";"+9,25%";"10.02.2021";"22:01:38";"Tradegate";"210,4274";"24,62";
"0,509";"THE SOUTHERN CO.     DL 5";;"852523";"Aktie";"EUR";"50,28";"0,24";"+0,48%";"25,59";"+0,97";"+3,95%";"10.02.2021";"22:01:38";"Tradegate";"48,3694";"24,62";
"0,732";"INTL BUS. MACH.    DL-,20";;"851399";"Aktie";"EUR";"100,80";"0,05";"+0,05%";"73,79";"-0,01";"-0,02%";"10.02.2021";"22:01:38";"Tradegate";"100,8197";"73,80";
"0,864";"ABBVIE INC.        DL-,01";;"A1J84E";"Aktie";"EUR";"85,86";"-1,11";"-1,28%";"74,18";"+0,36";"+0,49%";"10.02.2021";"22:01:38";"Tradegate";"85,4398";"73,82";
"6,146";"ISHS-ASIA PAC.DIV.DL D";;"A0J203";"ETF";"EUR";"20,275";"0,005";"+0,03%";"124,61";"-23,11";"-15,64%";"10.02.2021";"17:36:06";"XETRA";"24,0351";"147,72";
